MODALIDADE_DESCRICAO,MEDIA_PRE_60_MAIS,MEDIA_POS_60_MAIS,VARIACAO_PERCENTUAL_60_MAIS,MEDIA_PRE_50_MAIS,MEDIA_POS_50_MAIS,VARIACAO_PERCENTUAL_50_MAIS,TENDENCIA_60_MAIS,TENDENCIA_50_MAIS
EAD,0.06,0.04,-28.53,0.45,0.26,-42.79,Redução,Redução
Presencial,0.13,0.18,39.37,0.83,0.96,15.93,Aumento,Aumento
